PROVINCE,PROVINCE_C,DISTRICT,DISTRICT_C,TEHSIL,TEHSIL_C,Union Council,UC_C
Khyber Pakhtunkhwa,2,Swat,222,Bahrain,22202,Madyan,200779
Khyber Pakhtunkhwa,2,Swat,222,Bahrain,22202,Mankial,200780
Khyber Pakhtunkhwa,2,Swat,222,Bahrain,22202,Tirat,200781
Khyber Pakhtunkhwa,2,Mansehra,216,Balakot,21601,Bala Kot,200480
Khyber Pakhtunkhwa,2,Mansehra,216,Balakot,21601,Garhi Habibullah,200481
Khyber Pakhtunkhwa,2,Mansehra,216,Balakot,21601,Garlat,200482
Khyber Pakhtunkhwa,2,Mansehra,216,Balakot,21601,Ghanool,200483
Khyber Pakhtunkhwa,2,Mansehra,216,Balakot,21601,Grai,200484
Khyber Pakhtunkhwa,2,Mansehra,216,Balakot,21601,Hangrai,200485
Khyber Pakhtunkhwa,2,Mansehra,216,Balakot,21601,Kaghan,200486
Khyber Pakhtunkhwa,2,Mansehra,216,Balakot,21601,Karnol,200487
Khyber Pakhtunkhwa,2,Mansehra,216,Balakot,21601,Kawai,200488
Khyber Pakhtunkhwa,2,Mansehra,216,Balakot,21601,Mohandri,200489
Khyber Pakhtunkhwa,2,Mansehra,216,Balakot,21601,Phagala,200490
Khyber Pakhtunkhwa,2,Mansehra,216,Balakot,21601,Sat Bani,200491
Khyber Pakhtunkhwa,2,Mansehra,216,Balakot,21601,Shohal Mazullah,200492
Khyber Pakhtunkhwa,2,Mansehra,216,Balakot,21601,Talhata,200493
Khyber Pakhtunkhwa,2,Mansehra,216,Balakot,21601,Unkno,200494
Khyber Pakhtunkhwa,2,Karak,210,Banda Daud Shah,21001,Bahadar Khel,200292
Khyber Pakhtunkhwa,2,Karak,210,Banda Daud Shah,21001,Gurguri,200293
Khyber Pakhtunkhwa,2,Karak,210,Banda Daud Shah,21001,Jatta Ismail Khel,200294
Khyber Pakhtunkhwa,2,Karak,210,Banda Daud Shah,21001,Nari Panos,200295
Khyber Pakhtunkhwa,2,Karak,210,Banda Daud Shah,21001,Teri,200296
Khyber Pakhtunkhwa,2,Bannu,202,Bannu,20201,Amandi,200045
Khyber Pakhtunkhwa,2,Bannu,202,Bannu,20201,Baharat,200046
Khyber Pakhtunkhwa,2,Bannu,202,Bannu,20201,Bakka Khel Wazir,200047
