PROVINCE,PROVINCE_C,DISTRICT,DISTRICT_C,TEHSIL,TEHSIL_C
Punjab,6,Rahim Yar Khan,628,Khanpur (Rahim Yar Khan),62801
Punjab,6,Rahim Yar Khan,628,Rahim Yar Khan,62803
Punjab,6,Rahim Yar Khan,628,Sadiqabad,62804
Punjab,6,Muzaffargarh,623,Alipur,62301
Punjab,6,Muzaffargarh,623,Jatoi,62302
Punjab,6,Multan,622,Jalalpur Pirwala,62201
Punjab,6,Bahawalpur,603,Ahmadupr East,60305
Punjab,6,Bahawalpur,603,Bahawalpur,60301
Punjab,6,Bahawalpur,603,Kairpur Tamewali,60303
Punjab,6,Bahawalpur,603,Hasilpur,60302
Punjab,6,Bahawalnagar,602,Chishtian,60202
Punjab,6,Bahawalnagar,602,Minchinabad,60205
Punjab,6,Pakpattan,627,Arif Wala,62701
Punjab,6,Pakpattan,627,Pakpattan,62702
Punjab,6,Okara,626,Okara,62602
Punjab,6,Okara,626,Renala Khurd,62603
Punjab,6,Dera Ghazi Khan,607,Dera Ghazi Khan,60702
Punjab,6,Dera Ghazi Khan,607,De-excluded Area D.G.Khan,60701
Punjab,6,Dera Ghazi Khan,607,Taunsa,60703
Punjab,6,Layyah,618,Karor Lal Esan,61802
Punjab,6,Layyah,618,Chaubara,61801
Punjab,6,Layyah,618,Layyah,61803
Punjab,6,Muzaffargarh,623,Muzaffargarh,62304
Punjab,6,Muzaffargarh,623,Kot Addu,62303
Punjab,6,Jhang,612,Shorkot,61203
Punjab,6,Toba Tek Singh,635,Gojra,63501
Punjab,6,Toba Tek Singh,635,Kamalia,63502
Punjab,6,Toba Tek Singh,635,Toba Tek Singh,63503
Punjab,6,Faisalabad,608,Tandlianwala,60806
Punjab,6,Faisalabad,608,Summundari,60805
Punjab,6,Jhang,612,Jhang,61202
Punjab,6,Chiniot,606,Chiniot,60601
Punjab,6,Sargodha,632,Sillanwali,63206
Punjab,6,Khushab,616,Nurpur,61602
Punjab,6,Mianwali,621,Piplan,62103
Punjab,6,Mianwali,621,Isakhel,62101
Punjab,6,Mianwali,621,Mianwali,62102
Punjab,6,Chakwal,605,Talagang,60504
Punjab,6,Bhakkar,604,Kalurkot,60403
Punjab,6,Bhakkar,604,Darya Khan,60402
Punjab,6,Bhakkar,604,Mankera,60404
Punjab,6,Bhakkar,604,Bhakkar,60401
Punjab,6,Bahawalnagar,602,Bahawalnagar,60201
Punjab,6,Bahawalnagar,602,Haroonabad,60204
Punjab,6,Vehari,636,Burewala,63601
Punjab,6,Vehari,636,Mailsi,63602
Punjab,6,Vehari,636,Vehari,63603
Punjab,6,Lodhran,619,Lodhran,61903
Punjab,6,Lodhran,619,Dunyapur,61901
Punjab,6,Lodhran,619,Kahror Pacca,61902
Punjab,6,Multan,622,Shuabad,62204
Punjab,6,Multan,622,Multan Saddar,62202
Punjab,6,Khanewal,615,Jahanian,61501
Punjab,6,Khanewal,615,Mian Channu,61504
Punjab,6,Khanewal,615,Kabirwala,61502
Punjab,6,Khanewal,615,Khanewal,61503
Punjab,6,Sahiwal,631,Sahiwal (Sahiwal),63102
Punjab,6,Sahiwal,631,Chichawatni,63101
Punjab,6,Faisalabad,608,Chak Jhumra,60801
Punjab,6,Gujranwala,609,Nowshera Virkan,60903
Punjab,6,Gujranwala,609,Wazirabad,60904
Punjab,6,Gujranwala,609,Kamoke,60902
Punjab,6,Gujranwala,609,Gujranwala,60901
Punjab,6,Sialkot,634,Daska,63401
Punjab,6,Sialkot,634,Pasrur,63402
Punjab,6,Gujrat,610,Gujrat,61001
Punjab,6,Mandi Bahauddin,620,Phalia,62003
Punjab,6,Mandi Bahauddin,620,Mandi Bahauddin,62002
Punjab,6,Mandi Bahauddin,620,Malakwal,62001
Punjab,6,Jhelum,613,Pind Dadan Khan,61303
Punjab,6,Jhelum,613,Dina,61301
Punjab,6,Rawalpindi,630,Gujar Khan,63001
Punjab,6,Attock,601,Pindi Gheb,60106
Punjab,6,Attock,601,Jand,60105
Punjab,6,Attock,601,Attock,60101
Punjab,6,Attock,601,Hassan Abdal,60103
Punjab,6,Attock,601,Fateh Jang,60102
Punjab,6,Rawalpindi,630,Rawalpindi,63006
Punjab,6,Rawalpindi,630,Kahuta,63002
Punjab,6,Rawalpindi,630,Kotli Sattian,63004
Punjab,6,Rawalpindi,630,Murree,63005
Punjab,6,Chakwal,605,Choa Saidan Shah,60502
Punjab,6,Chakwal,605,Chakwal,60501
Punjab,6,Gujrat,610,Kharian,61002
Punjab,6,Gujrat,610,Sarai Alamgir,61003
Punjab,6,Hafizabad,611,Hafizabad,61101
Punjab,6,Hafizabad,611,Pindi Bhattian,61102
Punjab,6,Nankana Sahib,624,Nankana Sahib,62401
Punjab,6,Kasur,614,Chunian,61401
Punjab,6,Kasur,614,Pattoki,61403
Punjab,6,Lahore,617,Lahore City,61702
